metro,state,median_income,sample_zips,dc,lat,lng
Atlanta,GA,82100,30301|30305|30309|30318|30324,Braselton DC,33.749,-84.388
Chicago,IL,78300,60601|60611|60614|60657|60610,Olive Branch DC,41.878,-87.63
Dallas,TX,74600,75201|75204|75205|75225|75230,Dallas DC,32.777,-96.797
Denver,CO,105200,80202|80205|80209|80210|80218,Denver Hub,39.739,-104.99
Houston,TX,67200,77002|77005|77006|77019|77027,Dallas DC,29.76,-95.37
Los Angeles,CA,83400,90001|90024|90036|90048|90210,City of Industry DC,34.052,-118.244
Miami,FL,59600,33101|33125|33130|33131|33139,Pompano Beach Hub,25.762,-80.192
New York,NY,117400,10001|10011|10013|10021|10028,South Brunswick DC,40.713,-74.006
Phoenix,AZ,72800,85001|85003|85004|85006|85016,Litchfield Park DC,33.449,-112.074
San Francisco,CA,136700,94102|94103|94107|94110|94114,Tracy DC,37.775,-122.419
Seattle,WA,120600,98101|98102|98103|98105|98109,Tracy DC,47.606,-122.332
