id,hub,zcta,state,predicted_pressure,predicted_risk,owner_households,renter_households,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd
75201-2024,Dallas Downtown,75201,TX,215.6458152907044,STOCKOUT_RISK,1328,11197,10.57,3.31,5.65,2008.0
85004-2024,Phoenix Downtown,85004,AZ,214.14317956347108,STOCKOUT_RISK,1357,5087,6.02,22.49,9.56,1834.0
90012-2024,Los Angeles Downtown,90012,CA,210.79843177051887,STOCKOUT_RISK,1176,14448,-5.84,3.3,2.04,2116.0
98101-2024,Seattle Downtown,98101,WA,209.75927284964274,STOCKOUT_RISK,1588,10134,-10.13,7.01,2.97,2483.0
98109-2024,Seattle SLU,98109,WA,205.6485976505622,STOCKOUT_RISK,4616,17267,4.67,6.76,6.2,2343.0
94103-2024,San Francisco SoMa,94103,CA,202.9690987375908,STOCKOUT_RISK,3544,14408,6.2,2.8,3.29,2218.0
10001-2024,"New York, Manhattan",10001,NY,202.13181685894793,STOCKOUT_RISK,3798,11939,6.39,3.57,4.57,3361.0
19103-2024,Philadelphia Center City,19103,PA,187.49688954615084,STOCKOUT_RISK,5393,12184,-6.14,6.32,3.59,2015.0
11201-2024,Brooklyn Heights,11201,NY,184.56936022274584,STOCKOUT_RISK,12212,21810,3.7,2.08,3.23,3358.0
98004-2024,Bellevue,98004,WA,183.11670029942042,STOCKOUT_RISK,7113,12402,1.91,0.87,1.16,2803.0
78701-2024,Austin Downtown,78701,TX,182.31285745599976,STOCKOUT_RISK,3601,4348,0.45,16.44,9.25,2759.0
77019-2024,Houston River Oaks,77019,TX,182.01405299,STOCKOUT_RISK,5018,8341,-5.2,10.55,4.74,1959.0
02116-2024,Boston Back Bay,2116,MA,181.20088774052687,STOCKOUT_RISK,4035,7478,0.7,-0.53,0.3,2375.0
60611-2024,Chicago Near North Side,60611,IL,179.6198499982013,STOCKOUT_RISK,9891,14823,-3.21,11.08,0.85,2479.0
80206-2024,Denver Cherry Creek,80206,CO,177.98959726740787,STOCKOUT_RISK,6563,7501,4.86,-3.51,-1.71,1764.0
30309-2024,Atlanta Midtown,30309,GA,177.6674682652555,STOCKOUT_RISK,8546,10989,-0.85,7.25,4.7,2195.0
60614-2024,Chicago Lincoln Park,60614,IL,176.8438549693063,STOCKOUT_RISK,15614,19772,0.0,4.12,2.18,2030.0
33131-2024,Miami Brickell,33131,FL,167.94097558699292,STOCKOUT_RISK,4872,8289,4.44,-2.02,-0.47,3124.0
92660-2024,Newport Beach,92660,CA,167.14064744687707,STOCKOUT_RISK,7636,7897,-0.78,1.24,-0.48,3501.0
30305-2024,Atlanta Buckhead,30305,GA,166.42340082988352,STOCKOUT_RISK,7950,8134,0.65,9.62,4.71,2022.0
33139-2024,Miami Beach,33139,FL,166.2500785291169,STOCKOUT_RISK,7379,12443,11.31,-3.84,0.31,1822.0
55416-2024,Minneapolis St. Louis Park,55416,MN,165.0101245687153,STOCKOUT_RISK,9010,9045,1.65,1.04,1.29,1755.0
85251-2024,Scottsdale Old Town,85251,AZ,161.54745280470726,STOCKOUT_RISK,10684,11334,-0.16,2.65,0.01,1867.0
75205-2024,Highland Park,75205,TX,160.12939622973096,STOCKOUT_RISK,5325,4330,-2.86,10.23,2.47,2529.0
94301-2024,Palo Alto,94301,CA,156.31495847685315,STOCKOUT_RISK,3802,3365,4.08,-1.81,2.54,3300.0
20007-2024,Washington Georgetown,20007,DC,155.38885584624052,STOCKOUT_RISK,6764,5263,-0.5,4.2,1.02,2106.0
78746-2024,West Lake Hills,78746,TX,145.7716548250342,STOCKOUT_RISK,7368,3834,0.42,4.75,-0.41,2136.0
33480-2024,Palm Beach,33480,FL,138.73788075643395,STOCKOUT_RISK,5455,1021,1.15,-3.41,0.05,2293.0
90210-2024,Beverly Hills,90210,CA,138.38815533971487,STOCKOUT_RISK,5679,2350,-1.2,3.21,-1.88,3251.0
77005-2024,Houston West U,77005,TX,137.5630905248148,STOCKOUT_RISK,7205,2817,0.13,2.85,1.26,2181.0
